data,resgates,clientes_unicos,pontos_totais,numeros_totais
2026-03-16,2,2,1300,13
2026-03-17,6,2,3300,33
2026-03-18,9,4,1000,10
2026-03-19,271,211,390700,3907
2026-03-20,230,194,304300,3043
2026-03-21,359,273,446700,4467
2026-03-22,471,309,455400,4554
2026-03-23,328,228,277900,2779
2026-03-24,231,184,269300,2693
2026-03-25,221,190,254200,2542
2026-03-26,224,186,253300,2533
2026-03-27,305,209,260600,2606
2026-03-28,386,301,425200,4252
2026-03-29,476,373,595000,5950
2026-03-30,345,286,379400,3794
2026-03-31,278,230,380600,3806
2026-04-01,255,211,350400,3504
2026-04-02,446,353,846900,8469
2026-04-03,388,315,513700,5137
2026-04-04,508,396,534000,5340
2026-04-05,518,416,558000,5580
2026-04-06,515,375,480100,4801
2026-04-07,353,289,389500,3895
2026-04-08,345,264,280100,2801
2026-04-09,317,257,350500,3505
2026-04-10,341,277,347600,3476
2026-04-11,329,280,323300,3233
2026-04-12,690,540,765500,7655
2026-04-13,608,457,539300,5393
